"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Berikut merupakan hal-hal yang ditentukan dalam rencana retensi data, kecuali …","Apakah ada data yang tidak perlu dibuatkan rencana retensi","Format penyimpanan data","Berapa lama data harus disimpan","Apakah akhirnya data diarsipkan atau dihapuskan","Siapa yang memiliki kewenangan untuk menghapus data"
"Apakah dalam rencana retensi data perlu dilakukan backup data secara konsisten?","Perlu","Tidak perlu","Tergantung jenis data","Perlu tapi hanya sekali saja","Perlu sesering mungkin"
"Ketika periode retensi data berakhir, maka terdapat beberapa pilihan yang dapat dilakukan terhadap data tersebut, diantaranya …","dihapus, dipindahkan ke secondary storage, disimpan permanen","dihapus ","dipindahkan ke secondary storage","tergantung kebijakan","ditambahkan masa retensinya"
"Rencana retensi data memiliki beberapa manfaat sebagai berikut, kecuali …","Mengurangi user experience","Mempercepat penelusuran dalam pencarian","Menghemat ruang untuk data baru","Biaya penyimpanan lebih rendah","Meningkatkan efektifitas infrastruktur penyimpanan data"
"Masa simpan minimal suatu jenis data pada unit pengolah disebut …","Retensi aktif","Retensi inaktif","Jadwal retensi data","Rencana retensi data","Data aktif"
"Masa simpan minimal suatu jenis data pada unit pengarsipan disebut …","Retensi inaktif","Retensi aktif","Jadwal retensi data","Rencana retensi data","Data arsip"
"1. Mengidentifikasi dan menentukan dukungan infrasutruktur TI untuk retensi data
2. Mengidentifikasi data dalam beberapa kategori
3. Menyusun Jadwal Retensi Data
4. Membuat dokumentasi rencana
5. Menyusun Standard Operational Procedure retensi data
6. Menyusun skema penyimpanan retensi data 
Langkah-langkah menyusun rencana retensi data yang benar yaitu ...","2-3-5-6-1-4","2-3-5-6-4-1","3-2-5-6-4-1","3-2-4-5-6-1","1-2-3-4-5-6"
"... adalah sistem tempat operasi seperti ekstraksi data, transformasi, dan operasi pemuatan dijalankan.","Data staging","Gold zone","Data Integration","OLTP","Data Lake"
"Manakah dari berikut ini merupakan proses yang mendasarkan tindakan dan keputusan organisasi pada hasil kinerja terukur yang sebenarnya?","Intitutional perfomance management","Gap analysis","Slice and Dice","SWOT","ETL"
"1) OBIEE; 2) SSAS; 3) SSIS; 4) SSMS 5)SSRS. Manakah aplikasi yang bukan merupakan bagian BI pada SQL Server Stack. ","Poin 2,3, dan 5","Poin 1, 3, dan 5 ","Poin 1,3,4, dan 5","Poin 1, 3, dan 5","Poin 1, 4, dan 5"
"Di dalam sebuah dokumen kebutuhan data warehouse terdapat ?","Information Package","Data Mining","Requirement Gathering
","Data Staging","Raw Data"
"Memiliki record yang lebih sedikit pada sebuah tabel, merupakan ciri-ciri dari ?","Dimension Table","Fact Table","Master Table","Operational Table","Flat Table"
"Salah satu tujuan dari normalisasi tabel dimensi adalah ","Mengurangi redudansi","Mencegah anomali","Mengompresi data","Menjaga kompleskitas data","Mengurangi kategori data"
"Apa isi dari fact table ","Berupa data-data transaksi operasional*","Data kategori","Berupa data-data master","Berupa data-data hasil summary","Berupa data-data primary key"
"Salah satu alasan mengapa menggunakan star schema ?","Menyediakan performa teroptimasi untuk star query umum.*","Rancangan mudah dibuat","Membuat perintah SQL lebih mudah digunakan","membuat relasi menjadi many to many","Memungkinkan penggunaan joint table jadi lebih mudah"
"Mempermudah query, mengontrol akses data, dan mengubah nama kolom, tanpa redundancy dan kehilangan integritas referensi karena denormalisasi. Hal tersebut merupakan keuntungan dari","Views","Aspects","Cardinality","Constraint","Domains"
"Tujuan dari normalisasi adalah untuk menempatkan atribut dari entitas model data pada satu tempat guna menghindari redundancy dan kondisi yang tidak konsisten yang dapat muncul karena redundancy. Berikut termasuk dalam level normalisasi, kecuali","BENF","1NF","2NF","BCNF","4NF"
"Relationship pada relasi-relasi diimplementasikan dengan bantuan","Foreign key","Tuple","Encapsulation","Authorization","Tokenization"
"Set nilai-nilai yang mungkin di-assign pada suatu atribut adalah","Domain","Column","Tuple","Cardinality","Relationship"
"Pada model relasional terdapat beberapa integrity constraint. Constraint tersebut adalah required data, domain constraints, entity integrity, referential integrity, dan general constraints. Beberapa constraint tersebut dapat didefinisikan pada statement","CREATE dan ALTER","CREATE dan SET","CREATE dan CASCADE","SET dan ALTER","CASCADE dan ALTER"
"Pada saat megimplementasikan tabel, terdapat klausa FOREIGN KEY. Pada klausa FOREIGN KEY terdapat referential action ON DELETE. Opsi yang dapat ditambahkan pada ON DELETE adalah sebagai berikut, kecuali","RESTRICT","CASCADE","SET NULL","SET DEFAULT","NO ACTION"
"Hubungan antara primary key dan candidate key pada tabel relasional adalah","Primary key merupakan candidate key yang dipilih untuk mengidentifikasi tuple secara unik dalam relasi","Candidate key merupakan primary key yang dipilih untuk mengidentifikasi tuple secara unik dalam relasi","Primary key merupakan gabungan candidate key yang dipilih untuk mengidentifikasi tuple secara unik dalam relasi","Candidate key merupakan gabungan primary key yang dipilih untuk menjadi inter key","Primary key merupakan gabungan candidate key yang dipilih untuk menjadi composite key"
"Berikut merupakan statement yang valid dalam SQL Data Definition Language, kecuali","ALTER DOMAIN dan SET TABLE","ALTER TABLE dan DROP DOMAIN","DROP SCHEMA dan CREATE DOMAIN","CREATE VIEW dan ALTER DOMAIN","DROP VIEW dan DROP TABLE"
"Privileges merupakan aksi-aksi yang diijinkan untuk dilakukan user pada tabel atau view. Beberapa privilege yang didefinisikan oleh standar ISO pada SQL adalah sebagai berikut, kecuali","CHANGE","INSERT","DELETE","REFERENCES","USAGE"
"Statement untuk pengontrolan akses yang disupport oleh SQL adalah","GRANT dan REVOKE","GRANT dan RESET","INVOKE dan RESET","RESET dan REVOKE","INVOKE dan REVOKE"
"Data steward bisnis yang memiliki otoritas untuk keputusan-keputusan tentang data yang berada dalam domainnya, merupakan pengertian dari","Data Owner","Data Cleaner","Data Developer","Data Auditor","Data Accelerator "
"Data modeling dan standard desain database menjadi pedoman yang penting untuk menjawab keperluan data pada suatu bisnis. Data modeling dan standard desain database sesuai dengan Enterprise dan Data Architecture. Data modeling dan standard desain database juga menjaga kualitas data. Yang menyusun standard desain database adalah","Semua benar","Data architect","Data analysts","Database administrator","Semua salah"
"Prosedur dan requirements keamanan data dikategorikan ke dalam 4 grup. Grup tersebut adalah di bawah ini kecuali","Amendment","Audit","Access","Authentication","Authorization"
"Klausa yang memungkinkan user yang menerima privilege dapat memberikan lagi privilege ke user lain pada SQL adalah","WITH GRANT OPTION","WITH GRANT ENABLE","WITH GRANT ESCALATION","WITH GRANT AUTHORIZATION","WITH GRANT EXECUTION"
"SQL menyediakan fasilitas untuk menentukan owner dari object. Klausa yang digunakan untuk menentukan owner pada statement CREATE SCHEMA adalah","AUTHORIZATION","AUTHENTICATION","OWNER","ADMINISTRATION","BELONGS TO"
"Suatu privilege memungkinkan untuk dilakukan pembatasan hanya pada kolom-kolom tertentu. Kolom-kolom tersebut dapat direfer dalam constraints, seperti foreign key constraints, ketika membuat tabel yang lain. Pada SQL, privilege tersebut adalah","REFERENCES","LOOKUP","INSIGHTS","REFERS","CHECKS"
"Pengkategorian yang kurang tepat, format data tidak konsisten, dan adanya duplikat, dapat mempersulit dan memperlambat proses pencarian data. solusi yang efektif adalah …","Buat rencana secara detail sejak awal. Fokus membangun sistem struktur dasar terlebih dahulu untuk memudahkan dalam menemukan, mengakses, dan menganalisis data di kemudian hari.","Jika pengunjung Anda mayoritas dari Indonesia, sebaiknya pilih server yang berlokasi di Indonesia. Jika servernya di Amerika, bisa saja berakibat pada proses loading yang tak berkesudahan hingga adanya pesan error.","File gambar yang besar akan memakan banyak bandwidth dan membebani server. Ketika pengunjung mengakses konten berisi berbagai gambar berukuran besar, proses loading akan menjadi lama.","Mengurangi konten flash karena ukuran dari file flash cenderung besar sehingga akan memakan resource server Anda.","Menggunakan aplikasi terbaru, karena melewatkan fitur terbaru berarti pengelolaan konten menjadi kurang optimal."
"Data berasal dari berbagai sumber dan administrator. Kemajemukan ini menciptakan tumpukan data dengan bermacam tipe yang memiliki standarnya sendiri, yang dapat berdampak pada integritas data. solusi yang efektif adalah …","Otomatisasi, karena manusia pada dasarnya rentan terhadap kesalahan. Mengelola data yang akurat dan terstandardisasi adalah upaya yang rumit, otomatisasi data dapat merevolusi cara kita mengelola data jadi lebih rapi dan terstruktur.","Menggunakan tenaga manusia agar mengelola data yang rumit dapat standar dan akurat dengan bantuan tenaga manusia yang sudah berpengalaman.","Menggunakan sistem-sitem yang berbeda dan menggunakan aplikasi penerjemah untuk saling menghubungkan antar sistem.","Menggunakan sistem yang masih konvensional seperti menggunakan kertas dan pencatatan manual agar data tidak tercecer dan rusak setelah sekian waktu.","Menggunakan tempat penyimpanan yang berbeda agar tidak terjadi masalah dilain hari."
"Perusahaan menghadapi tantangan utama ketika data harus dikumpulkan dari variasi sistem manajemen database dengan kompatibilitas operasional yang berbeda. Kesenjangan ini akan menimbulkan masalah dalam penarikan data. solusi yang efektif adalah …","Gunakan penerjemah antar sistem. Gunakan aplikasi pendamping yang dapat terhubung dengan koneksi multi-database dan platform dengan operasi multi-sistem.","Menggunakan tenaga manusia untuk memantau dan menyalin data-data yang diperlukan dari berbagai sistem dengan bantuan tenaga manusia yang sudah berpengalaman.","Kita bisa menyimpan semua data SDM yang diperlukan hanya dengan bantuan koneksi internet. Sehingga kita tidak perlu kerepotan menyimpan data di dalam komputer.","Manggunakan tampilan sistem yang user friendly agar pengguna tidak  dibebani  untuk  mempelajari  sistem  tetapi  dapat  fokus  pada  pelaksanaan pekerjaannya.","Sistem  informasi  harus  mempertimbangkan  aspek  keamanan  informasi  yang akan dikelola (diakuisisi, disimpan, diolah, atau ditransfer ) oleh sistem tersebut."
"Volume data yang bisa jadi sangat besar akan menyulitkan dalam mencari data tertentu di dalam tumpukan data. solusi yang efektif adalah …","Gunakan aplikasi yang akan memudahkan mencari objek dan relasi data dengan fitur keyword search yang dapat menghasilkan pemetaan antar objek pada sebuah database.","Mengurangi konten flash karena ukuran dari file flash cenderung besar sehingga akan memakan resource server Anda.","Menggunakan aplikasi terbaru, karena melewatkan fitur terbaru berarti pengelolaan konten menjadi kurang optimal.","File gambar yang besar akan memakan banyak bandwidth dan membebani server. Ketika pengunjung mengakses konten berisi berbagai gambar berukuran besar, proses loading akan menjadi lama.","Menggunakan tenaga manusia untuk memantau dan menyalin data-data yang diperlukan dari berbagai sistem dengan bantuan tenaga manusia yang sudah berpengalaman."
"Integritas adalah aspek penting lain dari keamanan database. Kewenangan administrator yang tak terbatas dalam mengubah data akan mengurangi integritas database. Banyaknya jumlah pemegang akses ke penyimpanan data tentunya akan mempersulit pengawasan aktivitas login, yang nantinya rentan terhadap cyber attack. solusi yang efektif adalah …","Batasi sistem keamanan dengan kontrol akses. Kelola akses database dengan mekanisme ticketing, yang membuat pengajuan hak akses admin harus melalui proses approval dari tingkat manajemen yang lebih tinggi seperti manajer IT.","pastikan bahwa hanya orang terpercaya yang dapat melihat informasi. Gunakan sistem Kontrol Akses Pengguna yang menentukan izin siapa yang dapat mengakses data tersebut.","Mengelola etika dan moralitas sumberdaya manusia yang mengendalikan sistem informasi harus memiliki integritas, jujur dan terpercaya.","Melakukan pertambahan jumlah personil, pertambahan unitolisi, pemekaran wilayah, dinamika politik, dan sebagainya.","Sistem harus dipastikan bekerja dengan baik pada saat diperlukan"
"IDEA adalah salah satu dari sekian banyak cara dalam problem solving technique dan dapat diaplikasikan dalam berbagai bidang. Kepanjangan dari IDEA adalah …","Identification, Development, Execute, Asses","Identification, Dedication, Execute, Asses","Identification, Dedication, external, Asses","Identification, Development, external, Asses","Identification, Development, Execute, Affiliation"
"Ada banyak metode untuk mengetahui akar penyebab dari masalah yang muncul sebelum mencari solusi diantaranya berupa diagram, diagram yang dimaksud adalah ... ","Diagram Fishbone","Diagram Pencar","Diagram Batang","Diagram Garis","Diagram Lingkaran"
"Berikut beberapa langkah-langkah dalam mencari solusi alternatif, yang paling tepat adalah","Pastikan untuk tidak terburu-buru dalam menentukan suatu solusi alternatif, Sertakan semua individu yang terlibat dalam menentukan solusi alternatif yang terbaik","Pastikan untuk tidak menyelesaikan sebuah permasalahan tanpa data-data yang valid, Coba identifikasi standar, norma-norma atau nilai-nilai apa saja yang telah dilanggar dari permasalahan ini.","Coba identifikasi standar, norma-norma atau nilai-nilai apa saja yang telah dilanggar dari permasalahan ini, Dalam hal ini, kita juga perlu menyatakan atau mengungkapkan permasalahan yang terjadi secara spesifik. ","Perlu menetapkan langkah-langkah dan pemantauan secara berkelanjutan, kita perlu terus mengevaluasi hasil jangka panjang","Perlu menetapkan langkah-langkah dan pemantauan secara berkelanjutan, Coba identifikasi standar, norma-norma atau nilai-nilai apa saja yang telah dilanggar dari permasalahan ini. "
"Pengumpulan kebutuhan instansi terkait informasi yang akan digunakan untuk menunjang kegiatan atau program kerja instansi dapat dilakukan dengan metode/cara sebagai berikut, kecuali:","Sampling","Wawancara","Kuesioner","Observasi","  Studi Referensi"
"Pengumpulan informasi dapat dilakukan dengan cara interview/wawancara. Ada beberapa macam wawancara antara lain:","Wawancara terstruktur","Wawancara terbuka","Wawancara tersamar","Wawancara terus terang","Wawancara partisipatif"
"Ada beberapa jenis data. Salah satu jenis data berdasarkan sumber:","Data primer dan data sekunder","Data kuantitatif dan data kualitatif","Data observasional","Data wawancara
","Data eksperimental"
"Berikut adalah sumber informasi yang berupa dokumen kecuali : ","Tokoh dalam cerita fiksi","Film","Ensiklopedia","Kamus","Jurnal"
"Dari hal-hal berikut, yang merupakan sumber informasi adalah:","Benda","Katalog perpustakaan","Google","Yahoo","Jasa pemberian informasi"
"Proses pengumpulan data terdiri dari beberapa tahap. Tahap yang pertama adalah:","TInjauan literatur dan konsultasi dengan ahli","Uji coba atau pilot study","Merumuskan dan menyusun pertanyaan","Mencatat dan memberi kode","Cross checking, validitas, reliabilitas"
"Melakukan pengumpulan kebutuhan informasi adalah kegiatan pengumpulan kebutuhan instansi terkait informasi yang akan digunakan untuk menunjang kegiatan atau program kerja instansi. Konteks informasi dalam kegiatan ini meliputi:","Kebutuhan informasi untuk requirements pengembangan aplikasi, informasi yang dibutuhkan dalam rangka kegiatan Enterprise Architecture, Informasi untuk menyusun strategi bisnis instansi, dan sebagainya.","Informasi untuk menyusun strategi bisnis instansi","Informasi yang dibutuhkan dalam rangka kegiatan Enterprise Architecture di suatu instansi","Informasi mengenai spesifikasi hardware yang dibutuuhkan untuk mengembangkan aplikasi di suatu instansi","Informasi untuk menyusun strategi bisnis dan kegiatan Enterprise Architecture  instansi"
"Pemilihan teknik pengumpulan data yang sesuai kebutuhan ditentukan oleh:","Jenis informasi, kedalaman informasi, keluasan informasi, integrasi informasi, keterlibatan user, dan biaya","Jenis informasi, kedalaman informasi, keluasan informasi, keterlibatan user, dan biaya","Jenis informasi, kedalaman informasi, dan keluasan informasi","Jenis informasi, kedalaman informasi, keluasan informasi, dan biaya","Jenis informasi, kedalaman informasi, keluasan informasi, dan keterlibatan user"
"Dokumen evaluasi hasil pengujian prosedur validasi kebutuhan informasi mencakup:
1. Nama kegiatan terkait
2. Hasil pengujian yang sudah dilakukan
3. Hasil evaluasi dan dokumentasi terhadap hasil pengujian prosedur validasi kebutuhan informasi
Di antara jawaban berikut, yang paling tepat adalah:","1, 2, 3 benar
","1 dan 2 benar
","1 dan 3 benar
","2 dan 3 benar
","3 benar
"
"Seorang Pranata Komputer Ahli Pertama melakukan evaluasi hasil pengujian terhadap prosedur validasi kebutuhan informasi sebanyak 20 kali dalam satu tahun. Maka angka kredit yang dia peroleh:
","2,160
","3,60","2,70","1,08","1,728
"
"Pernyataan berikut yang bukan merupakan pengertian evaluasi adalah:","Proses rutin pengumpulan data dan pengukuran kemajuan atas objektif program. Proses yang memantau perubahan, yang fokus pada proses dan keluaran.","Kegiatan yang dilakukan berkenaan dengan proses untuk menentukan nilai dari suatu hal. ","Kegiatan atau aktivitas untuk menilai sesuatu secara terencana, sistematik, serta juga terarah dengan berdasarkan tujuan yang jelas.","Suatu usaha atau proses di dalam menentukan nilai-nilai. Dapat juga diartikan sebagai proses pemberian nilai dengan berdasarkan data kuantitatif hasil pengukuran untuk keperluan pengambilan keputusan.","Suatu proses merencanakan, memperoleh, serta juga menyediakan informasi yang sangat diperlukan untuk dapat membuat alternatif-alternatif keputusan."
"Dalam mengadakan sebuah proses evaluasi, terdapat beberapa hal yang akan dibahas yaitu
1. Apa yang menjadi bahan evaluasi
2. Bagaimana proses evaluasi
3. Kapan evaluasi diadakan
4. Mengapa perlu diadakan evaluasi
5. Di mana proses evaluasi diadakan
6. Pihak yang mengadakan evaluasi
Berdasarkan pernyataan di atas, di antara jawaban berikut yang paling tepat adalah:","1 s.d 6 benar","1, 2, 3, 6 benar","1, 2, 4, 6 benar","1, 2, 3, 5, 6 benar","1, 2, 4, 5, 6 benar"
"Tujuan yang paling tepat dari evaluasi hasil pengujian prosedur validasi kebutuhan informasi adalah:","Untuk mengukur tingkat efisiensi dan efektivitas sebuah media, metode, atau sumber daya lainnya dalam pelaksanaan sebuah kegiatan.","Untuk mengetahui tingkat penguasaan seseorang terhadap kompetensi yang sudah ditetapkan berdasarkan standar dan kebutuhan organisasi.","Untuk mengetahui posisi terbaik untuk seseorang sesuai kapabilitas dan kapasitas yang dimilikinya. ","Untuk menyeleksi seseorang sesuai dengan standar yang telah ditetapkan sebelumnya. ","Untuk mengetahui kelebihan dan kekurangan sesorang dalam bidang kompetensi tertentu. "
"Aktivitas evaluasi memiliki beberapa fungsi yang bermanfaat bagi para pihak yang melakukan evaluasi. Fungsi dari evaluasi yang paling sesuai dengan kegiatan Melakukan Evaluasi Hasil Pengujian Prosedur Validasi Kebutuhan Informasi adalah:","Fungsi Pengukuran Keberhasilan","Fungsi Penempatan","Fungsi Diagnosa","Fungsi Selektif","Fungsi Formatif"
"Evaluasi dikelompokkan dalam beberapa jenis. Salah satu jenis evaluasi yang dikelompokkan berdasarkan waktu pelaksanaan adalah:","Evaluasi Formatif ","Evaluasi Formulasi ","Evaluasi Proses","Evaluasi Biaya ","Evaluasi Dampak "
"Dalam suatu kegiatan evaluasi terdapat beberapa tahapan penting yang saling mendukung satu sama lain. Adapun tahapan terakhir dari suatu kegiatan evaluasi adalah:","Pelaporan hasil evaluasi ","Menentukan topik evaluasi ","Merancang kegiatan evaluasi ","Pengumpulan data","Pengolahan dan analisis data"
"Service validation and testing merupakan proses:
","Service transition","Service operation","Service design","Service strategy","Service delivery "
"Tujuan dari validasi informasi:","Untuk memastikan bahwa informasi dan pengetahuan yang didapat tidak hanya benar, namun juga utuh atau tidak sepotong-potong, serta tidak menyesatkan atau sesuai konteksnya","Untuk memastikan bahwa informasi dan pengetahuan yang didapat benar","Untuk memastikan bahwa informasi dan pengetahuan yang didapat tidak sepotong-potong","Untuk memastikan bahwa informasi dan pengetahuan yang didapat tidak menyesatkan","Untuk memastikan bahwa informasi dan pengetahuan yang didapat sesuai konteksnya"
"Metode validasi data yang digunakan untuk membantu mengurangi kesalahan dalam bidang dengan daftar nilai yang terbatas, sebagai contoh fakta bahwa hanya ada 12 bulan dalam satu tahun yang memastikan bahwa daftar nilai yang mungkin terbatas adalah:
","Pencarian (Lookup)","Pemeriksaan format","Pemeriksaan tipe","Dengan mendefinisikan tipe data sebagai angka","Pemeriksaan digit"
